Curriculum;User Group
Sales Manager;NRDK-Sales Manager
Logistics;NRDK-Logistics
Senior Market Access;NRDK-Senior Market Access
NRDK-Special Programs;NRDK-Special Programs
NRDK-RA consultant;NRDK-RA consultant
NRDK Sales;NRDK-Sales
Finance;NRDK-Finance
Market Access;NRDK-Market Access
External Pharmacovigilance;NRDK-External_PV_PQC
NRDK-Quality Consultant;NRDK-Quality consultant
Local Transparency;NRDK-Transparency
NRDK-Nephro;NRDK-Nephro
Medical Executive Assistant;NRDK-executive Medical Assistant
Medinfo Nordic;NRDK-MedInfo Nordic
Customer facing Maltofer;NRDK-Maltofer
Market Research;NRDK-Market Research
Quality 1;NRDK-LG and RP/PV
External MedInfo;NRDK-External_MI
NRDK-Employee basic training;NRDK-Employees
Market;NRDK-Marketing
Customer facing Iron Deficinency;NRDK-ID Gastro
Customer facing Cardio-Renal/Nephrology;NRDK-Cardio/Nephro
Basic training;NRDK-All Nordic
Medical;NRDK-Medical
Quality level 2;NRDK-Quality
