User ID;User Group
lkobberrod;ALL-GxP Quality Policy
lkobberrod;NRDK-All Nordic
lkobberrod;NRDK-Employees
lkobberrod;NRDK-ID Gastro
lkobberrod;NRDK-Sales
lkobberrod;NRDK-Sales ID Gastro
lkobberrod;NRDK-Transparency
lkobberrod;Vifor Pharma_All LMS User
lkobberrod;VP all
hlatvala;ALL-GxP Quality Policy
hlatvala;NRDK-All Nordic
hlatvala;NRDK-Cardio/Nephro
hlatvala;NRDK-Employees
hlatvala;NRDK-Maltofer
hlatvala;NRDK-Sales
hlatvala;NRDK-Sales C-R/N
hlatvala;NRDK-Transparency
hlatvala;Vifor Pharma_All LMS User
hlatvala;VP all
mmoe;ALL-GxP Quality Policy
mmoe;NRDK-All Nordic
mmoe;NRDK-Cardio/Nephro
mmoe;NRDK-Employees
mmoe;NRDK-Sales
mmoe;NRDK-Transparency
mmoe;Vifor Pharma_All LMS User
mmoe;VP all
kpaaske;ALL-GxP Quality Policy
kpaaske;NRDK-All Nordic
kpaaske;NRDK-Cardio/Nephro
kpaaske;NRDK-Employees
kpaaske;NRDK-Sales
kpaaske;NRDK-Sales C-R/N
kpaaske;NRDK-Transparency
kpaaske;Vifor Pharma_All LMS User
kpaaske;VP all
psyrja;ALL-GxP Quality Policy
psyrja;NRDK-All Nordic
psyrja;NRDK-Cardio/Nephro
psyrja;NRDK-Employees
psyrja;NRDK-Maltofer
psyrja;NRDK-Sales
psyrja;NRDK-Sales C-R/N
psyrja;NRDK-Transparency
psyrja;Vifor Pharma_All LMS User
psyrja;VP all
stamminen;ALL-GxP Quality Policy
stamminen;NRDK-All Nordic
stamminen;NRDK-Employees
stamminen;NRDK-ID Gastro
stamminen;NRDK-Maltofer
stamminen;NRDK-Sales
stamminen;NRDK-Sales ID Gastro
stamminen;NRDK-Transparency
stamminen;Vifor Pharma_All LMS User
stamminen;VP all
jberg;ALL-GxP Quality Policy
jberg;NRDK-All Nordic
jberg;NRDK-Employees
jberg;NRDK-Market Access
jberg;NRDK-Sales
jberg;NRDK-Transparency
jberg;Vifor Pharma_All LMS User
jberg;VP all
uboivie;ALL-GxP Quality Policy
uboivie;NRDK-All Nordic
uboivie;NRDK-Employees
uboivie;NRDK-ID Gastro
uboivie;NRDK-Sales
uboivie;NRDK-Sales ID Gastro
uboivie;NRDK-Transparency
uboivie;Vifor Pharma_All LMS User
uboivie;VP all
rfriden;ALL-GxP Quality Policy
rfriden;NRDK-All Nordic
rfriden;NRDK-Cardio/Nephro
rfriden;NRDK-Employees
rfriden;NRDK-Sales
rfriden;NRDK-Sales C-R/N
rfriden;NRDK-Transparency
rfriden;Vifor Pharma_All LMS User
rfriden;VP all
aling;ALL-GxP Quality Policy
aling;NRDK-All Nordic
aling;NRDK-Cardio/Nephro
aling;NRDK-Employees
aling;NRDK-Sales
aling;NRDK-Transparency
aling;Vifor Pharma_All LMS User
aling;VP all
sofferlind;ALL-GxP Quality Policy
sofferlind;NRDK-All Nordic
sofferlind;NRDK-Cardio/Nephro
sofferlind;NRDK-Employees
sofferlind;NRDK-Sales
sofferlind;NRDK-Transparency
sofferlind;Vifor Pharma_All LMS User
sofferlind;VP all
toehrnlundqvist;ALL-GxP Quality Policy
toehrnlundqvist;NRDK-All Nordic
toehrnlundqvist;NRDK-Employees
toehrnlundqvist;NRDK-ID Gastro
toehrnlundqvist;NRDK-Sales
toehrnlundqvist;NRDK-Transparency
toehrnlundqvist;Vifor Pharma_All LMS User
toehrnlundqvist;VP all
ajuhlin;ALL-GxP Quality Policy
ajuhlin;NRDK-All Nordic
ajuhlin;NRDK-Employees
ajuhlin;NRDK-LG and RP/PV
ajuhlin;Vifor Pharma_All LMS User
ajuhlin;VP all
jbergfeldt;ALL-GxP Quality Policy
jbergfeldt;NRDK-All Nordic
jbergfeldt;NRDK-Non-employees
jbergfeldt;NRDK-Quality consultant
jbergfeldt;NRDK-Transparency
jbergfeldt;Vifor ALL LMS Key Users Power Users
jbergfeldt;Vifor Pharma_All LMS User
jbergfeldt;VP all
ndewa;ALL-GxP Quality Policy
ndewa;NRDK-All Nordic
ndewa;NRDK-External_MI
ndewa;NRDK-Non-employees
ndewa;NRDK-Transparency
ndewa;Vifor Pharma_All LMS User
ndewa;VP all
lengermann;ALL-GxP Quality Policy
lengermann;NRDK-Non-employees
lengermann;NRDK-RA consultant
lengermann;Vifor Pharma_All LMS User
lengermann;VP all
kiversen;ALL-GxP Quality Policy
kiversen;NRDK-All Nordic
kiversen;NRDK-External_PV_PQC
kiversen;NRDK-Non-employees
kiversen;Vifor Pharma_All LMS User
kiversen;VP all
vsalim;ALL-GxP Quality Policy
vsalim;NRDK-All Nordic
vsalim;NRDK-External_PV_PQC
vsalim;NRDK-Non-employees
vsalim;NRDK-Transparency
vsalim;Vifor Pharma_All LMS User
vsalim;VP all
rtalimi;ALL-GxP Quality Policy
rtalimi;NRDK-All Nordic
rtalimi;NRDK-External_PV_PQC
rtalimi;NRDK-Non-employees
rtalimi;Vifor Pharma_All LMS User
rtalimi;VP all
mallard;ALL-GxP Quality Policy
mallard;NRDK-All Nordic
mallard;NRDK-Employees
mallard;NRDK-Medical
mallard;NRDK-Transparency
mallard;PromoMats internal Users
mallard;QM CMRS - GMA Research Solution Users
mallard;Vifor Pharma_All LMS User
mallard;VP all
khoegberg;ALL-GxP Quality Policy
khoegberg;NRDK-All Nordic
khoegberg;NRDK-Employees
khoegberg;NRDK-Medical
khoegberg;NRDK-Transparency
khoegberg;PromoMats internal Users
khoegberg;QM CMRS - GMA Research Solution Users
khoegberg;Vifor Pharma_All LMS User
khoegberg;VP all
ljanzon;ALL-GxP Quality Policy
ljanzon;e-Archiving Functional Archivist Digital Ingest
ljanzon;NRDK-All Nordic
ljanzon;NRDK-Employees
ljanzon;NRDK-LG and RP/PV
ljanzon;NRDK-Maltofer
ljanzon;NRDK-Medical
ljanzon;NRDK-MedInfo Nordic
ljanzon;NRDK-Quality
ljanzon;NRDK-Transparency
ljanzon;QM APM - LDSR
ljanzon;QM APM - LMS Affiliate Key Users
ljanzon;Vifor ALL LMS Key Users Power Users
ljanzon;Vifor Pharma_All LMS User
ljanzon;VP all
vmerio;ALL-GxP Quality Policy
vmerio;NRDK-All Nordic
vmerio;NRDK-Employees
vmerio;NRDK-Maltofer
vmerio;NRDK-Medical
vmerio;NRDK-Transparency
vmerio;PromoMats internal Users
vmerio;QM CMRS - GMA Research Solution Users
vmerio;Vifor Pharma_All LMS User
vmerio;VP all
esandvikjohansen;ALL-GxP Quality Policy
esandvikjohansen;NRDK-All Nordic
esandvikjohansen;NRDK-Employees
esandvikjohansen;NRDK-Medical
esandvikjohansen;NRDK-Transparency
esandvikjohansen;PromoMats internal Users
esandvikjohansen;QM CMRS - GMA Research Solution Users
esandvikjohansen;Vifor Pharma_All LMS User
esandvikjohansen;VP all
jsvanholtseeberg;ALL-GxP Quality Policy
jsvanholtseeberg;NRDK-All Nordic
jsvanholtseeberg;NRDK-Medical
jsvanholtseeberg;NRDK-Non-employees
jsvanholtseeberg;NRDK-Transparency
jsvanholtseeberg;QM CMRS - GMA Research Solution Users
jsvanholtseeberg;Vifor Pharma_All LMS User
jsvanholtseeberg;VP all
jsvanholtseeberg;VP- Externals 1
muhde;ALL-GxP Quality Policy
muhde;NRDK-All Nordic
muhde;NRDK-Employees
muhde;NRDK-Maltofer
muhde;NRDK-Medical
muhde;NRDK-Transparency
muhde;QM CMRS - GMA Research Solution Users
muhde;Vifor Pharma_All LMS User
muhde;VP all
mwindisch;ALL-GxP Quality Policy
mwindisch;DE-VP-AAS
mwindisch;DE-VP-alle
mwindisch;DE-VP-GF
mwindisch;DE-VP-ID-alle-Glob
mwindisch;DE-VP-IPAD
mwindisch;DE-VP-KundMed
mwindisch;DE-VP-MT
mwindisch;DE-VP-Vertrag
mwindisch;ICO-European Product Allocation System
mwindisch;Legal_Apttus_All Users
mwindisch;Line Manager internal
mwindisch;NRDK-All Nordic
mwindisch;NRDK-Employees
mwindisch;NRDK-LG and RP/PV
mwindisch;QM APM - ICO HQ Basics
mwindisch;QM APM - ICO HQ GM
mwindisch;Vifor Pharma_All LMS User
mwindisch;VP all
khumle;ALL-GxP Quality Policy
khumle;NRDK-All Nordic
khumle;NRDK-Transparency
khumle;PromoMats internal Users
khumle;QM CMRS - GMA Research Solution Users
khumle;Vifor Pharma_All LMS User
khumle;VP all
denkusson;ALL-GxP Quality Policy
denkusson;NRDK-All Nordic
denkusson;NRDK-Employees
denkusson;NRDK-Market Access
denkusson;NRDK-Senior Market Access
denkusson;NRDK-Transparency
denkusson;Vifor Pharma_All LMS User
denkusson;VP all
mhenning;ALL-GxP Quality Policy
mhenning;NRDK-All Nordic
mhenning;NRDK-Employees
mhenning;NRDK-Market Access
mhenning;NRDK-Transparency
mhenning;Vifor Pharma_All LMS User
mhenning;VP all
hhoejman;ALL-GxP Quality Policy
hhoejman;NRDK-All Nordic
hhoejman;NRDK-Employees
hhoejman;NRDK-Market Access
hhoejman;NRDK-Transparency
hhoejman;Vifor Pharma_All LMS User
hhoejman;VP all
hmeszaros;ALL-GxP Quality Policy
hmeszaros;NRDK-All Nordic
hmeszaros;NRDK-Employees
hmeszaros;NRDK-Market Access
hmeszaros;NRDK-Transparency
hmeszaros;PromoMats internal Users
hmeszaros;Vifor Pharma_All LMS User
hmeszaros;VP all
czaphiropoulos;ALL-GxP Quality Policy
czaphiropoulos;NRDK-All Nordic
czaphiropoulos;NRDK-Employees
czaphiropoulos;NRDK-Finance
czaphiropoulos;NRDK-Transparency
czaphiropoulos;Vifor Pharma_All LMS User
czaphiropoulos;VP all
ljansson;ALL-GxP Quality Policy
ljansson;NRDK-All Nordic
ljansson;NRDK-Finance
ljansson;NRDK-Logistics
ljansson;NRDK-Non-employees
ljansson;NRDK-Transparency
ljansson;Vifor Pharma_All LMS User
ljansson;VP all
ljansson;VP- Externals 1
rjarnling;ALL-GxP Quality Policy
rjarnling;NRDK-All Nordic
rjarnling;NRDK-Non-employees
rjarnling;Vifor Pharma_All LMS User
rjarnling;VP all
evehkamaeki;ALL-GxP Quality Policy
evehkamaeki;NRDK-All Nordic
evehkamaeki;NRDK-MedInfo Nordic
evehkamaeki;NRDK-Non-employees
evehkamaeki;Transparency Consent
evehkamaeki;Vifor Pharma_All LMS User
evehkamaeki;VP all
evehkamaeki;VP- Externals 1
dcolmander;ALL-GxP Quality Policy
dcolmander;Line Manager internal
dcolmander;NRDK-All Nordic
dcolmander;NRDK-Employees
dcolmander;NRDK-Finance
dcolmander;NRDK-LG and RP/PV
dcolmander;NRDK-Transparency
dcolmander;Vifor Pharma_All LMS User
dcolmander;VP all
pthorneus;ALL-GxP Quality Policy
pthorneus;ICO-European Product Allocation System
pthorneus;NRDK-All Nordic
pthorneus;NRDK-Finance
pthorneus;NRDK-LG and RP/PV
pthorneus;NRDK-Logistics
pthorneus;NRDK-Non-employees
pthorneus;NRDK-Transparency
pthorneus;Vifor Pharma_All LMS User
pthorneus;VP all
pthorneus;VP- Externals 1
sajasto;ALL-GxP Quality Policy
sajasto;Line Manager internal
sajasto;NRDK-All Nordic
sajasto;NRDK-Cardio/Nephro
sajasto;NRDK-Employees
sajasto;NRDK-ID Gastro
sajasto;NRDK-Maltofer
sajasto;NRDK-Sales
sajasto;NRDK-Sales C-R/N
sajasto;NRDK-Sales Manager
sajasto;NRDK-Transparency
sajasto;Vifor Pharma_All LMS User
sajasto;VP all
mbergman;ALL-GxP Quality Policy
mbergman;NRDK-All Nordic
mbergman;NRDK-Employees
mbergman;NRDK-Sales
mbergman;NRDK-Transparency
mbergman;Vifor Pharma_All LMS User
mbergman;VP all
jblomqvist;ALL-GxP Quality Policy
jblomqvist;NRDK-All Nordic
jblomqvist;NRDK-Employees
jblomqvist;NRDK-ID Gastro
jblomqvist;NRDK-Market Research
jblomqvist;NRDK-Marketing
jblomqvist;NRDK-Sales ID Gastro
jblomqvist;NRDK-Transparency
jblomqvist;PromoMats internal Users
jblomqvist;Vifor Pharma_All LMS User
jblomqvist;VP all
acrossner;ALL-GxP Quality Policy
acrossner;Line Manager internal
acrossner;NRDK-All Nordic
acrossner;NRDK-Cardio/Nephro
acrossner;NRDK-Employees
acrossner;NRDK-ID Gastro
acrossner;NRDK-Maltofer
acrossner;NRDK-Sales
acrossner;NRDK-Sales Manager
acrossner;NRDK-Transparency
acrossner;Vifor Pharma_All LMS User
acrossner;VP all
beqbali;ALL-GxP Quality Policy
beqbali;NRDK-All Nordic
beqbali;NRDK-Employees
beqbali;NRDK-ID Gastro
